151-1	151-2	154-1	154-2	156-1	156-2	158-1	158-2	222-1	222-2	278-1	278-2	544-1	544-2	561-1	561-2	568-1	568-2
1030.120854	1023.675095	812.1323404	349.6690767	909.9870764	487.5603295	655.2038688	498.2887104	480.5858908	702.2078316	366.316809	297.2256098	555.4066449	808.1880285	524.4534238	309.6336009	523.6932424	491.4320161
1007.90129	1475.286079	782.5827104	197.2320395	603.4185941	334.8955938	401.8362994	493.9898481	413.685537	450.2510362	281.1495037	161.6213243	585.3577195	966.8865112	452.5184515	170.1728739	466.4301827	303.7945328
899.1819267	913.0639325	990.738196	933.4909919	927.060462	641.3062454	719.7363274	734.8314988	1192.451853	3682.38121	411.4327552	263.0587845	740.9598164	817.8873367	1333.266174	480.3837306	1342.768964	1951.255509
18.55405739	30.51411945	773.8443401	3449.8958	108.9792824	322.2021214	39.13012654	30.19740007	1812.213794	2916.541153	69.99518821	94.37216445	747.5668286	256.2579476	910.3461873	369.8071738	1459.604248	1560.066112
17.7818297	0	918.4509659	2003.93239	277.1802152	546.224756	13.46979356	20.3353043	690.6776116	1330.077307	215.4830222	261.7488057	741.5380638	454.0469686	603.138923	589.5919773	608.9840593	763.8926602
703.6744674	799.5687526	695.4456118	481.4258591	985.688624	579.8349086	825.7746703	574.3406412	393.8356257	536.9992706	314.4156151	315.8552269	465.81042	824.0872074	401.704045	429.6921188	404.7076802	477.6158371
1028.143952	876.6204336	814.2767258	499.7606064	975.0906193	478.8900952	762.2312149	645.0084577	493.3874106	606.9078833	335.6912088	199.5355481	548.8852991	705.7536246	386.0305294	434.0429172	492.4559573	577.5786895
1117.742957	1092.689845	864.6161718	652.8573175	772.9760715	380.3883336	718.2958228	795.352736	658.4687288	541.4619902	524.5959715	485.8733009	741.7736461	931.8112236	688.0238858	678.5535111	664.6476513	532.0950536
911.5169771	765.3134771	642.0933044	677.9039855	1062.492364	652.3675514	1179.708815	837.5721994	557.3950095	640.3123288	426.2477541	422.8762035	619.3458178	833.1999046	525.2694215	704.9896891	536.7114259	740.0048742
1105.28435	1215.109346	944.6767987	803.0954415	1116.648168	581.9452893	1222.988455	1131.591198	635.9203521	685.0604361	556.9638762	477.208113	735.3807996	1106.307745	606.8903933	841.2434394	630.846981	711.7376607
929.473845	917.571471	669.3377202	658.1347091	931.2254778	518.8729739	812.5091275	692.1905783	552.440627	558.2576443	413.4888909	312.4299544	655.80753	779.7677407	509.9244245	674.298922	560.3538878	624.5042007
55.02379728	15.125968	122.487291	165.8504074	57.02786334	59.42333191	70.38047759	81.80482	331.1556718	774.6885536	264.0619338	243.5272147	146.5750122	183.2956856	260.5364308	127.9156108	259.050201	423.7069146
978.5978227	953.7830384	2170.696955	4536.274083	806.1266302	615.8465289	578.1906197	508.9831839	2620.598466	5241.991795	314.9458816	211.5401083	1992.726269	1211.66509	2139.270621	1142.955808	2424.348041	2326.907085
1009.466338	982.2501102	4402.712609	6589.273649	1322.19647	1635.981713	553.9277913	531.1623629	5105.021574	15787.26633	362.2478247	341.6897278	1831.898528	1365.508862	2318.207275	1034.474476	4648.868554	5614.834866
861.5486971	740.1438663	783.2474698	806.215804	659.323069	633.6444197	465.6700059	409.888087	2900.925843	10717.36404	208.4596955	106.8706511	931.1496755	654.1925472	2319.319999	434.203266	2818.992846	4761.287686
1132.796249	1045.012793	873.215157	354.4438595	712.2283085	338.7940804	576.4491141	579.7985104	471.292376	459.8359907	268.1633834	152.8917112	524.6738655	848.259623	513.3155841	427.0303281	473.0081258	364.5039422
915.2751518	947.823407	852.5432823	812.7811304	701.2169816	570.1250779	608.5379679	614.7583755	456.8933647	680.1580396	351.9022156	242.3782988	516.1821951	606.7377463	466.1148819	451.4995604	516.4903418	427.2362812
1517.96283	1642.407858	1189.490552	611.3292718	1513.03474	780.2067244	1222.311203	869.6977656	633.9558693	837.0896847	461.1479523	319.3234496	730.5299463	1021.744747	637.7181532	789.2797268	647.8691299	685.2781716
1274.772884	1335.76415	1178.897288	546.1890872	931.69179	579.3255063	871.5805685	804.6458647	592.1404497	606.2153923	440.9220699	357.3665238	769.4759807	1220.959839	607.2718987	789.2690369	638.0181041	512.5974553
1078.071046	1003.486969	912.9613394	424.0446966	790.1448391	504.7448584	652.9141114	544.7543539	604.1324299	656.6353304	339.9549849	225.0586605	729.7054083	910.1470754	586.3632805	431.2956072	623.3368979	518.2358336
102.0885011	31.09899021	665.1561688	1638.797624	516.3559855	873.0738734	137.1596935	127.3959401	3702.704672	9815.004334	190.9717202	176.8256689	1484.896536	1584.163026	2435.36124	1394.126223	3317.475936	7200.069236
18.72909567	0	222.8659691	370.5901647	30.3844795	31.46858392	430.2593914	577.1854765	983.3963425	774.3148283	38.85014312	45.05468222	558.9939206	250.1086469	1008.181141	203.1833541	958.0493325	634.6618899
453.4726946	336.5326201	650.8423966	608.0832571	318.7561876	214.7598304	229.5777424	309.6761289	1177.448385	1453.384668	208.5787349	140.2965867	1092.009541	570.4993508	1272.15112	455.7220797	1476.975949	1256.809593
241.9337883	136.0530402	263.9523923	251.2520062	252.3172961	132.1015183	249.863058	168.7514164	494.4560029	468.0689389	254.11673	160.7515843	645.1420776	193.3186412	728.6754111	234.7400049	491.3331522	366.3977487
825.6143684	759.9084645	733.2296816	367.5012153	681.1549587	382.6858417	627.6407796	598.6797878	463.8554054	578.1090523	418.7158043	345.8881026	624.5179197	690.9973257	503.0149369	355.9316546	534.5187782	475.7650717
40.41324931	16.60831287	2127.884301	3044.510453	1023.173767	1328.739384	103.8668359	82.02608497	7599.439799	14942.99892	474.8266656	445.349857	7052.61605	4697.812895	12872.08929	2601.467433	5803.482924	9350.733957
19.59399068	0	940.5166912	1102.472233	1223.126322	1788.584073	34.52911166	39.58535661	631.9266233	1592.399483	229.0859832	266.7095452	782.8613376	871.4307545	1332.895266	827.5924085	473.2199758	634.0270343
